type,variable,objetmetier,valeur,saisie,sessions,uri
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.37/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.75
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.38/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.76
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.38/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.77
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.39/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.78
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.39/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.79
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.40/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.80
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.40/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.81
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.41/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.82
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.41/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.83
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.42/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.84
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.42/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.85
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.43/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.86
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.43/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.87
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.44/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.88
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.44/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.89
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.45/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.90
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.45/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.91
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.46/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.92
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.46/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.93
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.47/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.94
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.47/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.95
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.48/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.96
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.48/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.97
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.49/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.98
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.49/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.99
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.50/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.100
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.50/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.101
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.51/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.102
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.51/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.103
