valeur,plateforme,dispositifs,protocoles,facteurs,uri
4_25,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.145
11_21,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.146
27_19,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.147
5_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.148
25_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.149
32_16,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.150
1_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.151
27_18,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.152
27_17,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.153
26_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.154
14_32,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.155
6_14,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.156
13_25,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.157
14_31,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.158
18_20,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.159
32_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.160
29_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.161
27_16,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.162
32_14,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.163
2_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.164
14_30,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.165
32_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.166
25_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.167
4_6,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.168
11_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.169
18_19,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.170
33_2,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.171
36_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.172
2_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.173
16_16,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.174
6_16,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.175
2_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.176
5_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.177
14_33,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.178
35_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.179
11_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.180
11_9,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.181
35_6,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.182
32_18,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.183
16_17,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.184
18_22,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.185
13_28,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.186
27_21,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.187
13_29,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.188
30_23,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.189
12_6,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.190
29_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.191
26_14,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.192
14_35,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.193
8_2,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.194
2_13,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.195
14_36,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.196
12_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.197
18_23,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.198
31_2,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.199
17_6,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.200
16_18,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.201
