combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.80'],38_4,81,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.80
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.81'],18_8,82,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.81
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.82'],13_11,83,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.82
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.83'],27_12,84,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.83
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.84'],32_8,85,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.84
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.85'],26_7,86,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.85
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.86'],30_5,87,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.86
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.87'],2_5,88,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.87
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.88'],11_4,89,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.88
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.89'],14_19,90,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.89
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.90'],18_10,91,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.90
